normalized_word,frequency,earliest_grade
डी,42.0,1.0
ट्रीय,42.0,1.0
हरे,42.0,2.0
उनमें,42.0,1.0
प्रमुख,42.0,1.0
समृद्ध,42.0,1.0
फोन,42.0,1.0
संदेश,42.0,1.0
कहानियाँ,42.0,1.0
मीरा,42.0,2.0
सन्,42.0,2.0
चाल,42.0,1.0
प्रोत्साहित,42.0,1.0
कितनी,42.0,1.0
अंतरिक्ष,42.0,4.0
छह,41.0,1.0
ज्यादा,41.0,1.0
भावना,41.0,2.0
दीवार,41.0,2.0
नाटक,41.0,4.0
सिंहासन,41.0,4.0
बैल,41.0,6.0
आग,41.0,2.0
धर्म,41.0,2.0
कथक,41.0,4.0
विशेषताओं,41.0,1.0
भविष्य,41.0,4.0
मामा,41.0,1.0
वैसे,41.0,3.0
रे,41.0,1.0
साथी,41.0,1.0
करो,41.0,3.0
इसकी,41.0,1.0
अनुभवों,41.0,1.0
मछलियाँ,41.0,1.0
रूपरेखा,41.0,1.0
उठा,41.0,1.0
आँखें,41.0,1.0
वर्तमान,41.0,5.0
धक्का,40.0,2.0
सरल,40.0,1.0
बोली,40.0,1.0
महत्,40.0,1.0
संयुक्त,40.0,1.0
उससे,40.0,2.0
मिश्र,40.0,1.0
त्री,40.0,8.0
अत्यंत,40.0,1.0
सुनी,40.0,2.0
बुद्धि,40.0,2.0
भालू,40.0,1.0
उधर,40.0,2.0
दिल,40.0,2.0
स्,40.0,4.0
शायद,40.0,1.0
सौंदर्य,40.0,4.0
उपर्युक्त,40.0,3.0
चलते,40.0,1.0
आँगन,40.0,1.0
चयन,40.0,1.0
रेवती,40.0,8.0
संदर्भों,40.0,1.0
चिंता,40.0,2.0
संबंधी,40.0,1.0
तुरंत,40.0,3.0
प्रेमा,40.0,9.0
व्यक्,40.0,8.0
व्यक्ति,40.0,3.0
बिहू,39.0,4.0
रखने,39.0,2.0
रंगों,39.0,2.0
संकट,39.0,3.0
रतन,39.0,3.0
मध्य,39.0,1.0
पकी,39.0,2.0
भक,39.0,6.0
नीम,39.0,1.0
न्याय,39.0,5.0
संज्ञा,39.0,1.0
लगभग,39.0,1.0
खेलने,39.0,1.0
अच्छे,39.0,1.0
पढ़,39.0,1.0
घोड़े,39.0,1.0
अंतिम,39.0,1.0
साथियों,39.0,1.0
वापस,39.0,2.0
कपड़े,39.0,1.0
तुमने,39.0,1.0
तरी,39.0,6.0
तारा,39.0,1.0
धन,39.0,4.0
जंगल,39.0,1.0
पैरों,39.0,3.0
सुनाइए,39.0,1.0
मिलने,38.0,1.0
मौखिक,38.0,1.0
कैसी,38.0,1.0
बनाते,38.0,1.0
बनी,38.0,1.0
विशेषण,38.0,2.0
चुप,38.0,3.0
आँख,38.0,2.0
अपनाने,38.0,4.0
वर,38.0,4.0
राग,38.0,3.0
उचित,38.0,3.0
पेड़ों,38.0,1.0
खोजकर,38.0,1.0
जाएं,38.0,1.0
लघुपतनक,38.0,8.0
जाएगी,38.0,2.0
प्रारंभिक,38.0,1.0
अध्यापिका,38.0,1.0
गुफा,38.0,3.0
आरंभ,38.0,1.0
प्रिय,38.0,1.0
शक्त,38.0,3.0
आकार,37.0,2.0
ओणम,37.0,4.0
अध्ययन,37.0,1.0
देंगे,37.0,1.0
समझते,37.0,2.0
रचनाएं,37.0,2.0
हमेशा,37.0,1.0
दीपक,37.0,1.0
मौसम,37.0,2.0
उपाय,37.0,3.0
चट्टान,37.0,9.0
तीर्थ,37.0,4.0
बजे,37.0,2.0
दादा,37.0,1.0
धन्यवाद,37.0,1.0
सुनने,37.0,1.0
संविदा,37.0,1.0
कही,37.0,3.0
परंतु,37.0,4.0
परिवर्तन,36.0,3.0
मिलता,36.0,3.0
सोचने,36.0,1.0
सचमुच,36.0,2.0
मंगेशकर,36.0,9.0
गलत,36.0,1.0
पीढ़ी,36.0,2.0
आचार्य,36.0,1.0
युद्ध,36.0,5.0
कहना,36.0,1.0
आठ,36.0,1.0
पंख,36.0,2.0
खिलाड़ी,36.0,2.0
खाते,36.0,1.0
साभार,36.0,1.0
दस,36.0,1.0
खरगोश,36.0,1.0
खेलों,36.0,1.0
सदस्यों,36.0,1.0
पहला,36.0,3.0
शामिल,36.0,1.0
सफेद,36.0,2.0
वही,36.0,3.0
इनकी,36.0,1.0
रखकर,36.0,1.0
पढ़ते,36.0,1.0
पहुँच,36.0,3.0
ताल,35.0,1.0
जीव,35.0,1.0
विषयों,35.0,1.0
कितना,35.0,1.0
मिलती,35.0,1.0
गाना,35.0,1.0
भगवान,35.0,3.0
लगाया,35.0,1.0
खोज,35.0,1.0
बारिश,35.0,1.0
सुनो,35.0,2.0
आनंदमयी,35.0,1.0
गति,35.0,1.0
पांव,35.0,2.0
दुख,35.0,3.0
मानव,35.0,1.0
जिसके,35.0,3.0
प्राकृतिक,35.0,3.0
बताने,35.0,1.0
अतः,35.0,1.0
उपलब्ध,35.0,1.0
वैज्ञानिक,34.0,3.0
तालिका,34.0,1.0
उल्लेख,34.0,3.0
भय,34.0,1.0
भरी,34.0,1.0
भाषाओं,34.0,3.0
लड़की,34.0,2.0
लोक,34.0,1.0
श्रीकृष्ण,34.0,6.0
घोंघे,34.0,4.0
परि,34.0,1.0
सभा,34.0,4.0
प्रक्रिया,34.0,1.0
सौरभ,34.0,3.0
खुद,34.0,1.0
विज्ञान,34.0,1.0
तर,34.0,1.0
मूल्य,34.0,1.0
बढ़,34.0,2.0
दया,34.0,4.0
जिसका,34.0,1.0
प्रसन्नता,34.0,2.0
बच्चा,34.0,1.0
फूलों,33.0,2.0
चाहेंगे,33.0,1.0
सार्थक,33.0,1.0
वाणी,33.0,1.0
वहीं,33.0,1.0
सबको,33.0,1.0
ढूँढ़कर,33.0,2.0
इच्छा,33.0,3.0
बनाई,33.0,1.0
दादाजी,33.0,1.0
खेत,33.0,1.0
छत,33.0,1.0
अर्थात,33.0,3.0
योग्य,33.0,4.0
समाचार,33.0,2.0
जानना,33.0,1.0
यान,33.0,2.0
चतुर,33.0,3.0
पौधा,33.0,1.0
कहने,33.0,1.0
मंत्री,33.0,4.0
भला,33.0,2.0
गा,33.0,1.0
रुचि,33.0,3.0
विश्वास,33.0,1.0
हड्डी,33.0,9.0
लाए,33.0,1.0
हरा,33.0,1.0
चीज़,33.0,1.0
गाते,33.0,1.0
संगम,33.0,1.0
